ISBN,正书名,著作责任者,出版单位,出版时间
978-7-115-32919-6,基础会计,周会林主编,人民邮电出版社,2013.1
978-7-115-33142-7,工业产品设计手绘实例教程,李远生主编,人民邮电出版社,2013.1
978-7-115-33159-5,计算机组装与维护项目教程,陆婕，朱建东主编,人民邮电出版社,2013.1
978-7-115-33170-0,并行·触动的心灵,王雪鹏著,人民邮电出版社,2013.09
978-7-115-33144-1,36个创意电子小制作,张晓东著,人民邮电出版社,2013.1
978-7-115-32373-6,SQLServer2008数据库应用技术,张素青，孙杰主编,人民邮电出版社,2013.11
978-7-115-33143-4,不可不知的36种电子元器件,张晓东著,人民邮电出版社,2013.1
978-7-115-33152-6,边用边学3dsMax室内设计,史宇宏，教传艳编著,人民邮电出版社,2013.1
978-7-115-33128-1,最有效的100个常用考核指标,李亚慧编著,人民邮电出版社,2013.1
978-7-115-33129-8,《豪斯医生》粉丝升级手册,"(美)雅各比(Jacoby.H.)主编",人民邮电出版社,2013.1
978-7-115-33045-1,3dsMax/Photoshop游戏模型制作全攻略,朱峰社区编著,人民邮电出版社,2013.1
978-7-115-33134-2,N次贴纸书,广东奥飞动漫文化股份有限公司著,人民邮电出版社,2013.1
978-7-115-33135-9,N次贴纸书,广东奥飞动漫文化股份有限公司著,人民邮电出版社,2013.09
978-7-115-32207-4,探秘骑士世界,(英)坦普尔曼著,人民邮电出版社,2013.1
978-7-115-33099-4,管理经济学与组织架构,(美)布里克利，(美)史密斯，(美)齐默尔曼著,人民邮电出版社,2013.1
978-7-115-33049-9,AdobeCameraRaw专业级人像照片处理技法,王日光编著,人民邮电出版社,2013.1
978-7-115-33150-2,轮椅女孩,广东奥飞文化传播有限公司著,人民邮电出版社,2013.11
978-7-115-33146-5,无线通信中的空时与协作信号处理,刘琚，许宏吉，郑丽娜，张大鹏，兰鹏，郭卫栋著,人民邮电出版社,2013.1
978-7-115-33139-7,复活节彩蛋,美国尼克少儿电视制作公司著,人民邮电出版社,2013.1
978-7-115-33149-6,最好的妈妈,美国尼克少儿电视制作公司著,人民邮电出版社,2013.1
978-7-115-33001-7,计算机基础知识与操作技能,毕文才主编,人民邮电出版社,2013.1
978-7-115-32969-1,中文版FlashCS6动画设计与制作208例,吴志华，岳军虎编著,人民邮电出版社,2013.1
978-7-115-33163-2,电子工程师自学速成,蔡杏山主编,人民邮电出版社,2013.1
978-7-115-33195-3,电子工程师自学速成,蔡杏山主编,人民邮电出版社,2013.1
978-7-115-33003-1,UGNX8中文版基础教程,钟日铭编著,人民邮电出版社,2013.09
978-7-115-32914-1,计算机编程导论,赵家刚，狄光智，吕丹桔主编,人民邮电出版社,2013.1
978-7-115-33061-1,我的第一本爵士乐书,"(美)苏特罗(Sutro.D.)著",人民邮电出版社,2013.1
978-7-115-33084-0,当日新娘发型设计实例教程,温狄编著,人民邮电出版社,2013.1
978-7-115-33166-3,最常见的100个人力资源管理问题,李亚慧编著,人民邮电出版社,2013.1
978-7-115-33064-2,我的第一本家庭理财书,王艳红，涂振旗著,人民邮电出版社,2013.1
978-7-115-33167-0,世界500强企业流程化运作管理工具,宁小军主编,人民邮电出版社,2013.1
978-7-115-33068-0,职称英语考试历年真题详解及全真模拟试卷,全国职称英语考试命题研究中心编著,人民邮电出版社,2013.1
978-7-115-33098-7,内蒙古自助游,藏羚羊旅行指南编辑部编著,人民邮电出版社,2013.1
978-7-115-33171-7,成本费用控制工具大全,孟庆华编著,人民邮电出版社,2013.1
978-7-115-33055-0,jQuery基础教程,"(美)查弗(Chaffer.J.)，(美)斯威德伯格(Swedberg.K.)著",人民邮电出版社,2013.1
978-7-115-33092-5,MastercamX6基础教程,钟日铭编著,人民邮电出版社,2013.1
978-7-115-33114-4,AutoCAD2012中文版机械设计基础培训教程,聂斌，姜军，姜勇编著,人民邮电出版社,2013.1
978-7-115-33162-5,赛车总动员电影故事特辑,美国迪士尼公司著,人民邮电出版社,2013.1
978-7-115-33164-9,边用边学AutoCAD室内设计,史宇宏，教传艳编著,人民邮电出版社,2013.1
978-7-115-33145-8,电子工程师自学速成,蔡杏山主编,人民邮电出版社,2013.09
978-7-115-32983-7,白纱新娘化妆与造型实例教程,安洋编著,人民邮电出版社,2013.1
978-7-115-32926-4,基础会计习题集,周会林主编,人民邮电出版社,2013.1
978-7-115-33157-1,突破型领导力,(澳)李著,人民邮电出版社,2013.1
978-7-115-33043-7,这样的孩子最无敌,(美)刘著,人民邮电出版社,2013.1
978-7-115-32985-1,大学计算机基础实践教程,姚琳主编,人民邮电出版社,2013.1
978-7-115-32311-8,精选单片机设计与制作30例,《无线电》编辑部编,人民邮电出版社,2013.1
978-7-115-32638-6,Photoshop，超简单！,朱仁成编著,人民邮电出版社,2013.1
978-7-115-33012-3,特色服饰化妆造型宝典,诸葛莹编著,人民邮电出版社,2013.1
978-7-115-32640-9,Photoshop调色，超简单！,朱仁成编著,人民邮电出版社,2013.1
978-7-115-32668-3,Pro/ENGINEER野火5.0机械设计基础及应用,武志明，姚涵珍主编,人民邮电出版社,2013.1
978-7-115-33103-8,精通Excel数据统计与分析,蒲括，邵朋编著,人民邮电出版社,2013.09
978-7-115-33002-4,应用文写作,樊洁，杨谨瑜主编,人民邮电出版社,2013.1
978-7-115-32052-0,成本会计实务,顾全根，刘洪海编著,人民邮电出版社,2013.1
978-7-115-33035-2,幸福生活绘,涂涂猫编著,人民邮电出版社,2013.1
978-7-115-33094-9,爸爸给我讲故事,美国迪士尼公司著,人民邮电出版社,2013.1
978-7-115-33051-2,VisualFoxPro6.0程序设计实验指导及习题汇编,李德强，杨慧珠编著,人民邮电出版社,2013.1
978-7-115-32973-8,高等数学,李水育主编,人民邮电出版社,2013.1
978-7-115-32759-8,财务管理基础,李盈超主编,人民邮电出版社,2013.1
978-7-115-32992-9,煤矿实用技术,张景坤著,人民邮电出版社,2013.1
978-7-115-33106-9,大家一起玩,熊小米(北京)文化传播有限公司著,人民邮电出版社,2013.1
